responsible,n_deals,actual_wr,expected_wr,total_amount_M,outperformance
320c57599a0d7184,122,0.7622950819672131,0.76235497,11.95758572773197,-5.988801111944664e-05
5b0f2d6b80c43d0a,146,0.8287671232876712,0.8288355,46.799660587373985,-6.836407805144162e-05
e2bd0ec40a790867,60,0.6666666666666666,0.6667422,6.281799402255001,-7.553895314538206e-05
493efc31b09f958f,448,0.4799107142857143,0.47998708,12.761005937780938,-7.637057985576678e-05
6b3f3eb121f08ad8,361,0.5623268698060941,0.56242174,24.559483998024444,-9.486929531576926e-05
f961cf09952eea8e,52,0.038461538461538464,0.038566574,11.58833703317318,-0.00010503599276909248
332ac2afa3a8ddec,281,0.49466192170818507,0.49478215,7.925255277504008,-0.00012022808353245873
07d3d0b1ecb6b511,33,0.45454545454545453,0.45468357,1.2151143680462062,-0.00013811750845477144
4a3c14631cf9d194,216,0.6759259259259259,0.67608225,43.0375370268857,-0.00015632753018979262
013d901ba859b228,1365,0.8139194139194139,0.8141428,270.74458948068474,-0.00022340929988540204
04db920f160dd6ba,51,0.9411764705882353,0.9415049,5.3338401775964535,-0.00032842509886799043
1c6e91fb92ea3dad,234,0.5170940170940171,0.5185163,46.73451484875093,-0.0014222850147475041
d048de7f739de0cb,88,0.2840909090909091,0.28627902,1.8410601659446024,-0.002188113602724917
