org_id,n_deals,n_won,win_rate,avg_deal_value,total_revenue,org_country,pricelist,deal_rate_yr,clv_estimate
84861da1c324b746,73,55,0.7534246575342466,95338.42736651057,5723066.258812932,6b7e1f5b521de19b,6f9a9c5f2856c8b3,12.166666666666666,1747871.1683860272
d24152b760095a5b,50,27,0.54,191887.74926428834,6583041.85394615,6b7e1f5b521de19b,6f9a9c5f2856c8b3,8.333333333333334,1726989.7433785954
a77ec862d485e1a4,30,16,0.5333333333333333,318310.9717176095,691301.082492776,6b7e1f5b521de19b,6f9a9c5f2856c8b3,5.0,1697658.5158272507
f205afd951205388,49,29,0.5918367346938775,175422.154666833,4050920.6407203744,062b9e5a52eb6d8e,28c9c64e5918b06e,8.166666666666666,1695747.4951127188
0243956fe82f1c3f,43,22,0.5116279069767442,226454.80314088092,1662323.9948924412,6b7e1f5b521de19b,d4f34f97b6d22a81,7.166666666666667,1660668.5563664602
7c1ec1e6fc1e423f,177,122,0.6892655367231638,40671.5662382324,7033878.333987369,6b7e1f5b521de19b,6f9a9c5f2856c8b3,29.5,1653977.027021451
b98de7b73d0c3ae2,93,62,0.6666666666666666,79666.67390824827,3425227.285691526,6b7e1f5b521de19b,6f9a9c5f2856c8b3,15.5,1646444.5941037976
0524000a875e1c63,108,99,0.9166666666666666,49675.40457970104,5310959.120307556,e366e0e543d0c5cd,d4f34f97b6d22a81,18.0,1639288.3511301342
8e8651f611c8e64c,62,35,0.5645161290322581,140049.34238313307,5773164.260234109,6b7e1f5b521de19b,6f9a9c5f2856c8b3,10.333333333333334,1633908.994469886
5ac5e5f9118cbca0,9,4,0.4444444444444444,1214551.9861082255,10545605.355179902,6b7e1f5b521de19b,6f9a9c5f2856c8b3,1.5,1619402.6481443006
5afae8df578633f6,41,33,0.8048780487804879,146798.53971262623,5845986.2425709795,6b7e1f5b521de19b,6f9a9c5f2856c8b3,6.833333333333333,1614783.9368388886
4c6d5ba17b5f25a3,10,5,0.5,950654.1512480292,344922.6707117288,77c27bf8a409b6bb,28c9c64e5918b06e,1.6666666666666667,1584423.5854133822
524a1fc5ff006d90,7,3,0.42857142857142855,1576559.4312144928,149921.62961281,6b7e1f5b521de19b,d4f34f97b6d22a81,1.1666666666666667,1576559.4312144928
8c1b9f36111e975f,85,61,0.7176470588235294,73191.59576320881,2621649.74415934,6b7e1f5b521de19b,6f9a9c5f2856c8b3,14.166666666666666,1488229.1138519123
a9387b26975ff6dc,57,29,0.5087719298245614,153871.10765038422,4829004.385101089,6b7e1f5b521de19b,6f9a9c5f2856c8b3,9.5,1487420.7072870475
04b050b1a997b4d4,105,80,0.7619047619047619,55100.88024904922,3510211.7673395653,6b7e1f5b521de19b,6f9a9c5f2856c8b3,17.5,1469356.8066413125
3ead90daefcedab6,23,13,0.5652173913043478,336309.1553518769,943107.9293309223,6b7e1f5b521de19b,d4f34f97b6d22a81,3.8333333333333335,1457339.6731914666
487e046941d4e10a,38,18,0.47368421052631576,242549.77444298752,3320576.684124682,75c64824a2a4e380,28c9c64e5918b06e,6.333333333333333,1455298.6466579249
c42e8a3aae9f00d7,171,97,0.5672514619883041,44976.716504503995,5980814.122950486,6b7e1f5b521de19b,6f9a9c5f2856c8b3,28.5,1454247.1669789627
95278353a352f35a,65,33,0.5076923076923077,125123.28097689999,1392161.6930439617,6b7e1f5b521de19b,d4f34f97b6d22a81,10.833333333333334,1376356.0907458998
1124f603952be24a,45,35,0.7777777777777778,117509.06146820649,2882883.248030876,6b7e1f5b521de19b,6f9a9c5f2856c8b3,7.5,1370939.050462409
1eb159a12b0d7545,98,84,0.8571428571428571,48012.35114627513,3196481.5930934018,6b7e1f5b521de19b,6f9a9c5f2856c8b3,16.333333333333332,1344345.8320957033
ec5e10559afa17e9,218,182,0.8348623853211009,21367.318829948308,3759718.740056864,6b7e1f5b521de19b,d4f34f97b6d22a81,36.333333333333336,1296284.009016864
b5c8a9bb37b7a607,56,34,0.6071428571428571,112893.49820098387,2108988.588810687,6b7e1f5b521de19b,6f9a9c5f2856c8b3,9.333333333333334,1279459.6462778172
eb8af805614c0fc5,23,15,0.6521739130434783,252810.06545515748,4298815.037741591,6ab36d9b02cbcf6b,28c9c64e5918b06e,3.8333333333333335,1264050.3272757875
76ce033dcb2e4d50,279,255,0.9139784946236559,14802.197351650446,3415493.937080971,6b7e1f5b521de19b,d4f34f97b6d22a81,46.5,1258186.7748902878
5da52ed09b0549ef,145,90,0.6206896551724138,40888.55024425703,3813518.813296158,6b7e1f5b521de19b,6f9a9c5f2856c8b3,24.166666666666668,1226656.507327711
2323cd2e3ea7582f,52,31,0.5961538461538461,118100.40026650764,549489.3203392939,6b7e1f5b521de19b,d4f34f97b6d22a81,8.666666666666666,1220370.802753912
5aacbbadfffdd917,28,16,0.5714285714285714,220598.47592464785,2302695.941589101,7b7c16a1b24ec3b8,28c9c64e5918b06e,4.666666666666667,1176525.2049314552
376321940a162a81,160,99,0.61875,35268.844781180705,2363152.333178945,6b7e1f5b521de19b,6f9a9c5f2856c8b3,26.666666666666668,1163871.8777789634
adcfc989d3ce2a8d,35,21,0.6,165590.54628318056,845759.2401692333,6b7e1f5b521de19b,6f9a9c5f2856c8b3,5.833333333333333,1159133.8239822637
771d64c4fac404a8,5,2,0.4,1713307.0272640965,11453.001111345915,6b7e1f5b521de19b,,0.8333333333333334,1142204.684842731
21c41aafe9fbfcf3,35,23,0.6571428571428571,144749.59990757747,1962374.2418061083,6b7e1f5b521de19b,d4f34f97b6d22a81,5.833333333333333,1109746.9326247605
8b9c4b4808766f79,38,27,0.7105263157894737,123039.53343755963,4285681.530842373,e366e0e543d0c5cd,d4f34f97b6d22a81,6.333333333333333,1107355.8009380365
757f8e136e773ba6,30,26,0.8666666666666667,127048.02946570328,3673423.768540316,6b7e1f5b521de19b,d4f34f97b6d22a81,5.0,1101082.922036095
71e1c369999f1cd2,70,55,0.7857142857142857,59197.65405050077,3684182.62969454,6b7e1f5b521de19b,6f9a9c5f2856c8b3,11.666666666666666,1085290.3242591808
8e120efab8afe407,39,29,0.7435897435897436,111463.50797296215,2680890.3198520704,fc3655a0b667e091,,6.5,1077480.5770719675
31659b79c7d206e2,34,14,0.4117647058823529,227578.1101590891,1136983.8729318262,6b7e1f5b521de19b,d4f34f97b6d22a81,5.666666666666667,1062031.1807424158
c2349db61ad09118,27,18,0.6666666666666666,175290.84344772663,795495.2453394553,6b7e1f5b521de19b,d4f34f97b6d22a81,4.5,1051745.0606863596
66fed54cd134737f,47,25,0.5319148936170213,123804.3024585946,1550328.1610544357,6b7e1f5b521de19b,d4f34f97b6d22a81,7.833333333333333,1031702.5204882883
f639dbac8d7ec475,105,66,0.6285714285714286,46872.82683433195,2411688.8857850223,6b7e1f5b521de19b,6f9a9c5f2856c8b3,17.5,1031202.1903553029
8ee0f1f16186a75f,97,83,0.8556701030927835,37014.06054071758,3022580.418804205,fd10c5543bdbcbc9,d4f34f97b6d22a81,16.166666666666668,1024055.6749598532
7e3f55012d5f5c10,5,4,0.8,766765.2014486088,3743592.0662393803,6b7e1f5b521de19b,6f9a9c5f2856c8b3,0.8333333333333334,1022353.6019314785
1d166789e7169975,4,3,0.75,1015170.0259121925,191488.63563373653,6b7e1f5b521de19b,14bffcff0ab1f3dd,0.6666666666666666,1015170.0259121924
095a013d6f4da178,3,2,0.6666666666666666,1505577.3522190917,49643.153995678134,fd10c5543bdbcbc9,,0.5,1003718.2348127278
4dcbbefa2886a6e7,12,9,0.75,330886.8350786786,2192567.1312104515,6828ce51082c111b,,2.0,992660.5052360359
eb08cd649c08dbe6,14,7,0.5,420145.1847824682,2541.330609973923,6b7e1f5b521de19b,6f9a9c5f2856c8b3,2.3333333333333335,980338.7644924258
7f91a163c3fd8d52,5,3,0.6,957701.6640719173,57207.455813271445,52838e14fa2f9ca3,,0.8333333333333334,957701.6640719173
875d038fa1daabac,17,15,0.8823529411764706,190838.22426346852,3244247.4707518285,6b7e1f5b521de19b,,2.8333333333333335,954191.1213173426
21a800f9537c7661,14,9,0.6428571428571429,317726.4540365337,955985.3866044953,6b7e1f5b521de19b,,2.3333333333333335,953179.3621096013
e552bb0df7d3eb82,72,54,0.75,52511.86147978445,3524178.695302298,6b7e1f5b521de19b,6f9a9c5f2856c8b3,12.0,945213.5066361201
9ffcb8613964ce95,91,53,0.5824175824175825,52786.91633504146,1556361.5854302892,6b7e1f5b521de19b,6f9a9c5f2856c8b3,15.166666666666666,932568.8552523992
0b1dd9116da0250b,11,6,0.5454545454545454,459732.55920583964,4336374.586458374,6b7e1f5b521de19b,6f9a9c5f2856c8b3,1.8333333333333333,919465.1184116792
8fc56fef5a5f92b7,78,44,0.5641025641025641,62545.24948232166,4637004.941199985,6b7e1f5b521de19b,6f9a9c5f2856c8b3,13.0,917330.3257407177
edaa301a6e293ea9,57,31,0.543859649122807,87477.67648143716,4362005.697416407,6b7e1f5b521de19b,6f9a9c5f2856c8b3,9.5,903935.9903081841
1b1b3e6aa4a9bb90,48,31,0.6458333333333334,86128.7351235262,2261218.659636944,6b7e1f5b521de19b,6f9a9c5f2856c8b3,8.0,889996.9296097708
bc65bab7c24167fb,1,1,1.0,2621870.8541915976,2621870.8541915976,6b7e1f5b521de19b,6f9a9c5f2856c8b3,0.16666666666666666,873956.9513971992
0eb973e95657ebaa,28,13,0.4642857142857143,201135.90105731814,2704540.3355479385,6ab36d9b02cbcf6b,28c9c64e5918b06e,4.666666666666667,871588.904581712
9280c10fcf99f079,45,38,0.8444444444444444,68718.51272373032,2714326.4962004516,6b7e1f5b521de19b,6f9a9c5f2856c8b3,7.5,870434.4945005841
f8c7fa0ef66adb9d,71,50,0.704225352112676,51880.83370697956,1825353.2195216066,6b7e1f5b521de19b,6f9a9c5f2856c8b3,11.833333333333334,864680.5617829927
afc0621ed965a958,24,10,0.4166666666666667,254871.05543485194,3668463.587198931,6b7e1f5b521de19b,28c9c64e5918b06e,4.0,849570.1847828398
b523252aadfa8eca,85,68,0.8,37339.82801470798,2853812.723528779,6b7e1f5b521de19b,6f9a9c5f2856c8b3,14.166666666666666,846369.4350000476
695a58fda565b8d1,18,8,0.4444444444444444,317196.94824762805,2252833.0865855636,7545e34e09ae9cad,28c9c64e5918b06e,3.0,845858.5286603414
